SerialNo,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other
1209,Myanmar,MMR,1999,0.19826,0.008135,0.120393,0.066135,0.003027,0.000569,
1210,Myanmar,MMR,2000,0.223535,0.029851,0.129781,0.060184,0.003478,0.000241,
1211,Namibia,NAM,1990,0,,,,0,,
1212,Namibia,NAM,1991,0.745422,0.028471,0.716951,0,0,0,
1213,Namibia,NAM,1992,0.787101,0.022489,0.764613,0,0,0,
1214,Namibia,NAM,1993,0.919741,0.157739,0.762002,0,0,0,
1215,Namibia,NAM,1994,1.008603,0.169276,0.839327,0,0,0,
1216,Namibia,NAM,1995,1.008794,0.027388,0.981406,0,0,0,
1217,Namibia,NAM,1996,1.043643,0.022205,1.021438,0,0,0,
1218,Namibia,NAM,1997,1.045162,0.017311,1.027851,0,0,0,
1219,Namibia,NAM,1998,1.046885,0.016885,1.03,0,0,0,
1220,Namibia,NAM,1999,0.935431,0.008242,0.92719,0,0,0,
1221,Namibia,NAM,2000,0.882192,0.004037,0.878155,0,0,0,
1222,Nepal,NPL,1990,0.036777,0.009152,0.025402,0,0.002222,0,
1223,Nepal,NPL,1991,0.050982,0.014925,0.033308,0,0.00275,0,
1224,Nepal,NPL,1992,0.059556,0.013588,0.041294,0,0.004674,0,
1225,Nepal,NPL,1993,0.065703,0.014644,0.045827,0,0.005232,0,
1226,Nepal,NPL,1994,0.074304,0.015635,0.052788,0,0.005881,0,
1227,Nepal,NPL,1995,0.103513,0.033346,0.064227,0,0.00594,0,
1228,Nepal,NPL,1996,0.103265,0.032645,0.06513,0,0.005489,0,
1229,Nepal,NPL,1997,0.113599,0.034829,0.074858,0,0.003913,0,
1230,Nepal,NPL,1998,0.093798,0.012851,0.076177,0,0.004771,0,
1231,Nepal,NPL,1999,0.132173,0.045984,0.081344,0,0.004846,0,
1232,Nepal,NPL,2000,0.123676,0.039833,0.078921,0,0.004922,0,
1233,Netherlands,NLD,1990,10.827154,2.288006,3.480355,4.892916,0.027823,0.059224,0.07883
1234,Netherlands,NLD,1991,11.313353,2.103774,3.640924,5.403776,0.033089,0.0544,0.077391
1235,Netherlands,NLD,1992,11.221618,2.06188,3.770427,5.234096,0.029636,0.049635,0.075945
1236,Netherlands,NLD,1993,11.160258,2.070773,3.57009,5.367574,0.030031,0.044946,0.076844
1237,Netherlands,NLD,1994,11.126604,2.257707,3.583421,5.127236,0.030164,0.040353,0.087723
1238,Netherlands,NLD,1995,11.154518,2.24648,3.516474,5.244039,0.027708,0.03575,0.084066
1239,Netherlands,NLD,1996,11.677511,2.145348,3.607102,5.791992,0.020336,0.031925,0.080808
1240,Netherlands,NLD,1997,11.164034,2.079558,3.568643,5.376443,0.024056,0.038767,0.076567
1241,Netherlands,NLD,1998,11.159808,2.119703,3.6332,5.277041,0.027476,0.026625,0.075763
1242,Netherlands,NLD,1999,10.746854,1.853407,3.647481,5.123634,0.032696,0.019483,0.070153
1243,Netherlands,NLD,2000,10.760474,1.930075,3.616904,5.093149,0.029498,0.022088,0.068759
1244,New Zealand,NZL,1990,7.506502,1.369672,3.647084,2.101396,0.132086,0.135318,0.120946
1245,New Zealand,NZL,1991,7.520279,1.293503,3.527007,2.283754,0.125719,0.159298,0.130997
1246,New Zealand,NZL,1992,7.973508,1.393218,3.762795,2.383289,0.135094,0.152964,0.146149
1247,New Zealand,NZL,1993,7.7681,1.368016,3.684521,2.284988,0.136903,0.145104,0.148567
1248,New Zealand,NZL,1994,7.7053,1.277872,3.889768,2.102279,0.137238,0.149366,0.148777
1249,New Zealand,NZL,1995,7.622294,1.260492,4.01086,1.909466,0.146621,0.136195,0.158661
1250,New Zealand,NZL,1996,7.859697,1.229702,3.995893,2.174468,0.13687,0.178789,0.143976
1251,New Zealand,NZL,1997,8.283872,1.306689,4.031074,2.456009,0.140959,0.189054,0.160087
1252,New Zealand,NZL,1998,7.836797,1.18614,4.069196,2.098973,0.128328,0.185044,0.169116
1253,New Zealand,NZL,1999,8.208071,1.204966,4.123986,2.391961,0.138815,0.160731,0.187611
1254,New Zealand,NZL,2000,8.364146,1.143579,4.272792,2.4613,0.137677,0.153882,0.194915
1255,Nigeria,NGA,1990,0.408104,0.001732,0.31274,0.078541,0.015091,0,
1256,Nigeria,NGA,1991,0.429227,0.00195,0.319232,0.093358,0.014687,0,
1257,Nigeria,NGA,1992,0.461812,0.00139,0.350382,0.095742,0.014299,0,
1258,Nigeria,NGA,1993,0.43604,0.000214,0.321149,0.101952,0.012724,0,
1259,Nigeria,NGA,1994,0.331273,0.000625,0.223105,0.097378,0.010165,0,
1260,Nigeria,NGA,1995,0.308878,0.000474,0.205562,0.093043,0.009799,0,
1261,Nigeria,NGA,1996,0.33156,0.000198,0.230098,0.091933,0.009331,0,
1262,Nigeria,NGA,1997,0.360386,0.000225,0.257434,0.093732,0.008995,0,
1263,Nigeria,NGA,1998,0.323471,0.000283,0.219293,0.094512,0.009384,0,
1264,Nigeria,NGA,1999,0.33073,0.000367,0.22493,0.096976,0.008457,0,
1265,Nigeria,NGA,2000,0.64161,0.00006,0.256729,0.107279,0.008227,0.269315,
1266,Norway,NOR,1990,8.274402,0.869617,4.796357,1.768893,0.149471,0.450534,0.23953
1267,Norway,NOR,1991,7.868582,0.765858,4.582244,1.83698,0.138906,0.32732,0.217275
1268,Norway,NOR,1992,8.037919,0.768169,4.623104,1.944918,0.152337,0.323336,0.226056
1269,Norway,NOR,1993,8.348531,0.858322,4.683479,2.022663,0.194335,0.370814,0.218917
1270,Norway,NOR,1994,8.740438,0.938216,4.827637,2.173061,0.194847,0.386696,0.219981
1271,Norway,NOR,1995,8.833461,0.949228,4.902355,2.155605,0.200719,0.415889,0.209665
1272,Norway,NOR,1996,9.488053,0.944971,5.349663,2.30925,0.196964,0.469701,0.217505
1273,Norway,NOR,1997,9.473518,0.956023,5.256447,2.395052,0.209292,0.43697,0.219734
1274,Norway,NOR,1998,9.448118,0.996598,5.371873,2.224666,0.203083,0.450394,0.201504
1275,Norway,NOR,1999,9.555052,0.986298,5.452986,2.154795,0.199904,0.584921,0.176149
1276,Norway,NOR,2000,9.384347,0.962549,4.984857,2.457694,0.198165,0.614312,0.16677
1277,Pakistan,PAK,1990,0.587687,0.07391,0.287036,0.2003,0.026441,0,
1278,Pakistan,PAK,1991,0.566066,0.067311,0.271058,0.201196,0.026501,0,
1279,Pakistan,PAK,1992,0.588477,0.068321,0.28577,0.208497,0.025889,0,
1280,Pakistan,PAK,1993,0.614718,0.067416,0.305736,0.214651,0.026915,0,
1281,Pakistan,PAK,1994,0.650069,0.071242,0.332593,0.220812,0.025422,0,
1282,Pakistan,PAK,1995,0.628125,0.062591,0.32823,0.211168,0.026135,0,
1283,Pakistan,PAK,1996,0.681598,0.068186,0.365625,0.221538,0.026249,0,
1284,Pakistan,PAK,1997,0.66361,0.060665,0.349237,0.227959,0.025749,0,
1285,Pakistan,PAK,1998,0.664994,0.056243,0.361437,0.222605,0.02471,0,
1286,Pakistan,PAK,1999,0.663948,0.0574,0.35037,0.230308,0.025871,0,
1287,Pakistan,PAK,2000,0.682904,0.053048,0.358829,0.235596,0.025842,0.009589,
1288,Philippines,PHL,1990,0.671706,0.058568,0.567823,0,0.045315,0,
1289,Philippines,PHL,1991,0.689595,0.065504,0.576164,0,0.047927,0,
1290,Philippines,PHL,1992,0.748221,0.065458,0.637779,0,0.044984,0,
1291,Philippines,PHL,1993,0.740411,0.063429,0.624701,0,0.052281,0,
1292,Philippines,PHL,1994,0.800033,0.061798,0.676903,0.000162,0.06117,0,
1293,Philippines,PHL,1995,0.865703,0.067773,0.732063,0.000212,0.065656,0,
1294,Philippines,PHL,1996,0.863416,0.083201,0.704757,0.000258,0.0752,0,
1295,Philippines,PHL,1997,0.963461,0.093365,0.783601,0.000151,0.086344,0,
1296,Philippines,PHL,1998,0.916241,0.092077,0.750193,0.000246,0.073724,0,
1297,Philippines,PHL,1999,0.894123,0.155732,0.668286,0.000192,0.069913,0,
1298,Philippines,PHL,2000,0.928032,0.209111,0.653796,0.000235,0.064889,0,
1299,Poland,POL,1990,9.899408,7.941423,1.060878,0.491844,0.14327,0.111272,0.150722
1300,Poland,POL,1991,9.794605,7.941188,1.06863,0.448794,0.141857,0.074205,0.119932
1301,Poland,POL,1992,9.535348,7.682168,1.086142,0.43424,0.144778,0.073991,0.11403
1302,Poland,POL,1993,9.53692,7.650937,1.126771,0.439352,0.134323,0.070187,0.115349
1303,Poland,POL,1994,9.394603,7.392292,1.197616,0.472278,0.17311,0.044955,0.114353
1304,Poland,POL,1995,9.449832,7.358076,1.219732,0.497132,0.173597,0.075883,0.125413
1305,Poland,POL,1996,9.832396,7.634775,1.330707,0.515876,0.161945,0.065016,0.124077
1306,Poland,POL,1997,9.571919,7.227703,1.405435,0.547035,0.175511,0.083366,0.13287
1307,Poland,POL,1998,8.842245,6.560117,1.378341,0.537393,0.16504,0.070543,0.130811
1308,Poland,POL,1999,8.592171,6.248551,1.43475,0.532602,0.161066,0.092073,0.123129
1309,Poland,POL,2000,8.251497,5.942869,1.372206,0.567154,0.158792,0.08783,0.122647
1310,Portugal,PRT,1990,4.529181,1.098505,2.953199,0.100798,0.317404,0.005654,0.053621
1311,Portugal,PRT,1991,4.720577,1.161011,3.075373,0.094854,0.327568,0.006058,0.055712
1312,Portugal,PRT,1992,5.107851,1.190551,3.479536,0.059327,0.31424,0.006829,0.057368
1313,Portugal,PRT,1993,4.952272,1.254569,3.256001,0.055516,0.3198,0.008464,0.057922
1314,Portugal,PRT,1994,5.017034,1.316436,3.237906,0.044133,0.328607,0.027897,0.062055
1315,Portugal,PRT,1995,5.424644,1.451923,3.44115,0.078045,0.344441,0.041526,0.067559
1316,Portugal,PRT,1996,5.136504,1.343192,3.261782,0.091712,0.335831,0.036423,0.067564
1317,Portugal,PRT,1997,5.398958,1.355528,3.459036,0.112528,0.3515,0.046374,0.073992
1318,Portugal,PRT,1998,5.820325,1.208984,3.899979,0.241429,0.347447,0.043339,0.079146
1319,Portugal,PRT,1999,6.537401,1.45689,3.954637,0.631788,0.373985,0.037573,0.082528
1320,Portugal,PRT,2000,6.37685,1.457661,3.872947,0.556034,0.369792,0.033623,0.086794
1321,Qatar,QAT,1990,25.836184,0,5.433679,20.150237,0.252268,0,
1322,Qatar,QAT,1991,38.074499,0,6.100165,31.496116,0.478217,0,
1323,Qatar,QAT,1992,56.823125,0,9.554685,46.793854,0.474586,0,
1324,Qatar,QAT,1993,63.13149,0,9.362766,53.31198,0.456745,0,
1325,Qatar,QAT,1994,60.526001,0,8.387446,51.759176,0.379379,0,
1326,Qatar,QAT,1995,60.757618,0,10.079912,50.307086,0.37062,0,
1327,Qatar,QAT,1996,59.83461,0,9.629626,49.684993,0.519991,0,
1328,Qatar,QAT,1997,66.817851,0,15.292426,51.02799,0.497435,0,
1329,Qatar,QAT,1998,54.598803,0,19.474166,34.458174,0.666463,0,
1330,Qatar,QAT,1999,50.14759,0,12.999899,36.496499,0.651192,0,
1331,Qatar,QAT,2000,52.654852,0,14.332562,37.598163,0.724127,0,
1332,Romania,ROU,1990,7.595993,2.260807,1.921613,3.093098,0.19466,0.051163,0.074652
1333,Romania,ROU,1991,6.212778,1.862654,1.59655,2.513028,0.140123,0.043839,0.056585
1334,Romania,ROU,1992,5.767735,1.958662,1.57822,2.010935,0.127449,0.044999,0.047469
1335,Romania,ROU,1993,5.381587,1.7638,1.484465,1.920412,0.124702,0.04576,0.042448
1336,Romania,ROU,1994,5.326007,1.793421,1.444938,1.877499,0.122429,0.046147,0.041573
1337,Romania,ROU,1995,5.573243,1.865732,1.516097,1.959203,0.13961,0.047731,0.044869
1338,Romania,ROU,1996,5.751465,1.856026,1.711308,1.948467,0.142745,0.047783,0.045135
1339,Romania,ROU,1997,5.292296,1.659932,1.795047,1.611735,0.134814,0.047944,0.042824
1340,Romania,ROU,1998,4.710876,1.400244,1.547503,1.515219,0.131579,0.065405,0.050927
1341,Romania,ROU,1999,4.009125,1.153297,1.248364,1.383983,0.120004,0.058875,0.044602
1342,Romania,ROU,2000,4.227592,1.316799,1.287174,1.411821,0.121167,0.043222,0.04741
1343,Russia,RUS,1990,17.126807,5.089449,5.999897,5.323928,0.233837,0.224464,0.255231
1344,Russia,RUS,1991,16.203734,4.746146,5.686836,5.08401,0.22119,0.226527,0.239027
1345,Russia,RUS,1992,13.216354,3.503815,3.93466,5.205222,0.179642,0.184067,0.208948
1346,Russia,RUS,1993,12.531724,3.405738,3.423856,5.24845,0.147719,0.148174,0.157786
1347,Russia,RUS,1994,11.065992,3.052167,2.732314,4.923665,0.1107,0.125423,0.121722
1348,Russia,RUS,1995,10.897812,3.221449,2.602634,4.708141,0.112054,0.134475,0.119059
1349,Russia,RUS,1996,10.700509,3.218603,2.436615,4.719795,0.085832,0.135964,0.103701
1350,Russia,RUS,1997,10.015,2.782713,2.38478,4.522655,0.082959,0.147647,0.094246
1351,Russia,RUS,1998,9.917491,2.709766,2.339312,4.559275,0.080737,0.147953,0.080448
1352,Russia,RUS,1999,10.134326,2.760932,2.377024,4.658758,0.089404,0.160405,0.087803
1353,Russia,RUS,2000,10.066304,2.904073,2.160907,4.640493,0.102915,0.161829,0.096087
1354,Saudi Arabia,SAU,1990,13.027184,0,6.960444,5.674305,0.36359,0.028845,
1355,Saudi Arabia,SAU,1991,17.32561,0,10.248206,6.694708,0.330775,0.051921,
1356,Saudi Arabia,SAU,1992,18.295717,0,11.266556,6.568818,0.429176,0.031167,
1357,Saudi Arabia,SAU,1993,19.087393,0,11.923604,6.7084,0.414534,0.040856,
1358,Saudi Arabia,SAU,1994,17.86517,0,10.625235,6.779412,0.394494,0.066029,
1359,Saudi Arabia,SAU,1995,13.892906,0,9.447446,4.018035,0.402984,0.024441,
1360,Saudi Arabia,SAU,1996,13.306082,0,8.724385,4.081309,0.408271,0.092118,
1361,Saudi Arabia,SAU,1997,10.823724,0,6.219384,4.136761,0.372021,0.095558,
1362,Saudi Arabia,SAU,1998,10.122811,0,5.61307,4.098259,0.371034,0.040447,
1363,Saudi Arabia,SAU,1999,10.756268,0,6.432421,3.922165,0.373256,0.028427,
1364,Saudi Arabia,SAU,2000,13.754045,0,9.206285,4.092495,0.403571,0.051694,
1365,Singapore,SGP,1990,14.405216,0.025462,14.379755,0,0,0,
1366,Singapore,SGP,1991,14.175219,0.01409,14.16113,0,0,0,
1367,Singapore,SGP,1992,14.695811,0.02043,14.391634,0.283747,0,0,
1368,Singapore,SGP,1993,14.894992,0.021979,14.055405,0.817609,0,0,
1369,Singapore,SGP,1994,17.473887,0.025573,16.503175,0.945139,0,0,
1370,Singapore,SGP,1995,11.441099,0.011373,10.475439,0.954286,0,0,
1371,Singapore,SGP,1996,13.147376,0,12.321589,0.825787,0,0,
1372,Singapore,SGP,1997,15.087034,0,14.295903,0.791132,0,0,
1373,Singapore,SGP,1998,12.262951,0,11.420465,0.842486,0,0,
1374,Singapore,SGP,1999,12.40399,0,11.735202,0.668788,0,0,
1375,Singapore,SGP,2000,11.938546,0,11.270573,0.667973,0,0,
1376,South Africa,ZAF,1990,7.847274,6.64779,1.018503,0.086368,0.094612,0,
1377,South Africa,ZAF,1991,7.969178,6.788227,1.008002,0.085351,0.087598,0,
1378,South Africa,ZAF,1992,7.215516,6.217983,0.832194,0.084228,0.081111,0,
1379,South Africa,ZAF,1993,7.533028,6.812945,0.544532,0.092278,0.083273,0,
1380,South Africa,ZAF,1994,7.825033,6.915086,0.731403,0.090695,0.08785,0,
1381,South Africa,ZAF,1995,8.220289,7.264346,0.767684,0.089213,0.099046,0,
1382,South Africa,ZAF,1996,8.141431,7.257019,0.708654,0.079086,0.096672,0,
1383,South Africa,ZAF,1997,8.502076,7.359952,0.976985,0.069663,0.095476,0,
1384,South Africa,ZAF,1998,8.222435,7.105906,0.972412,0.057934,0.086182,0,
1385,South Africa,ZAF,1999,8.0813,7.263012,0.661919,0.074916,0.081452,0,
1386,South Africa,ZAF,2000,8.075818,7.217678,0.711382,0.068328,0.07843,0,
1387,Spain,ESP,1990,5.948293,2.053911,3.145471,0.310519,0.315738,0.045487,0.077166
1388,Spain,ESP,1991,6.181858,2.112886,3.302892,0.345555,0.300043,0.044972,0.075511
1389,Spain,ESP,1992,6.375635,2.184815,3.432284,0.372057,0.266268,0.047316,0.072895
1390,Spain,ESP,1993,6.121146,2.091524,3.298832,0.359814,0.251482,0.046636,0.072858
1391,Spain,ESP,1994,6.405349,2.093213,3.505631,0.384323,0.290205,0.052732,0.079245
1392,Spain,ESP,1995,6.720591,2.156982,3.648181,0.474578,0.310554,0.046801,0.083496
1393,Spain,ESP,1996,6.376789,1.816642,3.595909,0.532704,0.302892,0.044863,0.08378
1394,Spain,ESP,1997,6.659769,1.874847,3.650766,0.68458,0.31736,0.045174,0.087043
1395,Spain,ESP,1998,6.842628,1.819903,3.835004,0.705624,0.342124,0.048116,0.091857
1396,Spain,ESP,1999,7.392838,2.060349,4.027767,0.802136,0.355965,0.049176,0.097445
1397,Spain,ESP,2000,7.650024,2.167843,4.051191,0.912395,0.361488,0.052343,0.104764
1398,Sri Lanka,LKA,1990,0.222669,0.000213,0.212983,0,0.009473,0,
1399,Sri Lanka,LKA,1991,0.237603,0.000421,0.227835,0,0.009347,0,
1400,Sri Lanka,LKA,1992,0.28973,0.000208,0.270677,0,0.018846,0,
1401,Sri Lanka,LKA,1993,0.279117,0.000206,0.263511,0,0.0154,0,
1402,Sri Lanka,LKA,1994,0.301759,0.000407,0.28052,0,0.020832,0,
1403,Sri Lanka,LKA,1995,0.31986,0.000202,0.29973,0,0.019928,0,
1404,Sri Lanka,LKA,1996,0.380438,0.0002,0.359738,0,0.0205,0,
1405,Sri Lanka,LKA,1997,0.407623,0.000397,0.386079,0,0.021147,0,
1406,Sri Lanka,LKA,1998,0.416788,0.000197,0.397574,0,0.019017,0,
1407,Sri Lanka,LKA,1999,0.456156,0.000196,0.434872,0,0.021088,0,
1408,Sri Lanka,LKA,2000,0.539726,0.000195,0.517899,0,0.021632,0,
1409,Sweden,SWE,1990,6.735769,1.375772,4.915613,0.189116,0.148794,0.039332,0.067141
1410,Sweden,SWE,1991,6.743006,1.378264,4.934049,0.202923,0.132305,0.033015,0.06245
1411,Sweden,SWE,1992,6.676746,1.285514,4.94018,0.234102,0.126042,0.036027,0.054882
1412,Sweden,SWE,1993,6.647851,1.272751,4.909356,0.24102,0.125769,0.039696,0.05926
1413,Sweden,SWE,1994,6.899393,1.288851,5.143322,0.236003,0.127182,0.03383,0.070204
1414,Sweden,SWE,1995,6.805401,1.283259,5.032201,0.23905,0.147993,0.038452,0.064446
1415,Sweden,SWE,1996,7.230309,1.412642,5.317685,0.257069,0.139424,0.03665,0.06684
1416,Sweden,SWE,1997,6.633315,1.226695,4.912452,0.259862,0.125502,0.040626,0.068179
1417,Sweden,SWE,1998,6.670707,1.260244,4.909896,0.256531,0.128382,0.041345,0.074309
1418,Sweden,SWE,1999,6.332086,1.13607,4.701914,0.248005,0.128739,0.042397,0.074961
1419,Sweden,SWE,2000,6.187622,1.140623,4.549014,0.238572,0.145159,0.042198,0.072056
1420,Switzerland,CHE,1990,6.579544,0.218518,5.35571,0.577838,0.384521,0.003925,0.039032
1421,Switzerland,CHE,1991,6.788921,0.17825,5.598813,0.637867,0.330882,0.005766,0.037342
1422,Switzerland,CHE,1992,6.695084,0.130433,5.555121,0.661248,0.306641,0.00527,0.036371
1423,Switzerland,CHE,1993,6.287645,0.110073,5.173987,0.685808,0.275817,0.005753,0.036208
1424,Switzerland,CHE,1994,6.10404,0.111309,4.98046,0.669934,0.301737,0.005839,0.034762
1425,Switzerland,CHE,1995,6.169001,0.113247,5.002425,0.7309,0.282652,0.005531,0.034246
1426,Switzerland,CHE,1996,6.238948,0.081404,5.074962,0.790117,0.253328,0.006289,0.032848
1427,Switzerland,CHE,1997,6.074149,0.070542,4.976746,0.762542,0.226747,0.005878,0.031695
1428,Switzerland,CHE,1998,6.27764,0.061821,5.168934,0.78319,0.226145,0.00596,0.03159
1429,Switzerland,CHE,1999,6.222965,0.063458,5.088231,0.808776,0.224842,0.005958,0.031699
1430,Switzerland,CHE,2000,6.073797,0.089749,4.904466,0.801834,0.240173,0.005412,0.032164
1431,Syria,SYR,1990,2.985361,0,2.287159,0.252456,0.117702,0.328045,
1432,Syria,SYR,1991,3.301509,0.000287,2.511599,0.286074,0.113423,0.390126,
1433,Syria,SYR,1992,3.235058,0.000278,2.384757,0.287407,0.11563,0.446985,
1434,Syria,SYR,1993,3.34058,0.000271,2.419394,0.276641,0.135655,0.508619,
1435,Syria,SYR,1994,3.317626,0.000263,2.358858,0.291568,0.130905,0.536032,
1436,Syria,SYR,1995,2.878422,0.001024,2.264682,0.357608,0.125325,0.129783,
1437,Syria,SYR,1996,2.877323,0.000747,2.25755,0.370695,0.122026,0.126305,
1438,Syria,SYR,1997,3.004368,0.000728,2.158277,0.559886,0.126827,0.15865,
1439,Syria,SYR,1998,3.209973,0.000709,2.225979,0.705827,0.11672,0.160738,
1440,Syria,SYR,1999,3.255865,0.000691,2.265978,0.704403,0.125801,0.158992,
1441,Syria,SYR,2000,3.095553,0.000674,2.136326,0.693761,0.109775,0.155018,
1442,Taiwan,TWN,1990,6.027298,2.008518,3.339224,0.165425,0.441704,0,0.072427
1443,Taiwan,TWN,1991,6.432018,2.171555,3.462218,0.28319,0.459062,0,0.055993
1444,Taiwan,TWN,1992,6.786011,2.483994,3.445818,0.290435,0.49317,0,0.072594
1445,Taiwan,TWN,1993,7.280274,2.714519,3.633658,0.275172,0.552691,0,0.104233
1446,Taiwan,TWN,1994,7.568905,2.835394,3.747721,0.363109,0.522649,0,0.100031
1447,Taiwan,TWN,1995,7.87106,2.908683,3.97872,0.388667,0.509419,0,0.085571
1448,Taiwan,TWN,1996,8.179876,3.261564,3.928215,0.405018,0.490967,0,0.094113
1449,Taiwan,TWN,1997,8.754853,3.696766,3.982378,0.460358,0.489046,0,0.126305
1450,Taiwan,TWN,1998,9.134161,3.928622,4.107061,0.570725,0.455195,0,0.072557
1451,Taiwan,TWN,1999,9.420909,3.995928,4.369175,0.568664,0.419908,0,0.067234
1452,Taiwan,TWN,2000,10.226887,4.978571,4.184453,0.591408,0.397572,0,0.074883
1453,Thailand,THA,1990,1.56994,0.246075,1.005399,0.201358,0.117108,0,
1454,Thailand,THA,1991,1.694872,0.278415,1.063371,0.246217,0.106868,0,
1455,Thailand,THA,1992,1.842827,0.293048,1.145229,0.259972,0.144578,0,
1456,Thailand,THA,1993,2.104102,0.313598,1.292824,0.288866,0.208815,0,
1457,Thailand,THA,1994,2.285578,0.350271,1.387206,0.320201,0.227899,0,
1458,Thailand,THA,1995,2.625624,0.405091,1.634485,0.327957,0.258091,0,
1459,Thailand,THA,1996,2.900076,0.503626,1.741089,0.367131,0.288229,0,
1460,Thailand,THA,1997,2.986716,0.498633,1.718843,0.452134,0.317106,0,
1461,Thailand,THA,1998,2.619847,0.397098,1.543829,0.463855,0.215064,0,
1462,Thailand,THA,1999,2.726985,0.444543,1.529673,0.4953,0.257469,0,
1463,Thailand,THA,2000,2.747106,0.477027,1.465473,0.562021,0.242585,0,
1464,Tonga,TON,1990,0.853586,0,0.853586,0,0,0,
1465,Tonga,TON,1991,0.888153,0,0.888153,0,0,0,
1466,Tonga,TON,1992,0.70135,0,0.70135,0,0,0,
1467,Tonga,TON,1993,0.847023,0,0.847023,0,0,0,
1468,Tonga,TON,1994,0.918471,0,0.918471,0,0,0,
1469,Tonga,TON,1995,0.952859,0,0.952859,0,0,0,
1470,Tonga,TON,1996,0.767943,0,0.767943,0,0,0,
1471,Tonga,TON,1997,0.982813,0,0.982813,0,0,0,
1472,Tonga,TON,1998,0.867707,0,0.867707,0,0,0,
1473,Tonga,TON,1999,1.077837,0,1.077837,0,0,0,
1474,Tonga,TON,2000,0.928472,0,0.928472,0,0,0,
1475,Tunisia,TUN,1990,1.555219,0.031266,1.043053,0.296154,0.184312,0.000434,
1476,Tunisia,TUN,1991,1.781745,0.031444,1.304496,0.217558,0.218474,0.009773,
1477,Tunisia,TUN,1992,1.691668,0.031642,1.13038,0.293524,0.212806,0.023315,
1478,Tunisia,TUN,1993,1.821575,0.032244,1.261988,0.277131,0.22205,0.028162,
1479,Tunisia,TUN,1994,1.725573,0.02886,1.058594,0.374777,0.234482,0.02886,
1480,Tunisia,TUN,1995,1.672774,0.025631,0.968849,0.403785,0.246512,0.027997,
1481,Tunisia,TUN,1996,1.758209,0.02526,1.058964,0.423197,0.223974,0.026814,
1482,Tunisia,TUN,1997,1.752178,0.027212,1.03519,0.449566,0.213383,0.026828,
1483,Tunisia,TUN,1998,1.840267,0.021582,1.077185,0.496755,0.217864,0.026882,
1484,Tunisia,TUN,1999,1.851099,0.030321,1.053,0.513585,0.227615,0.026578,
1485,Tunisia,TUN,2000,1.988377,0.028147,1.133645,0.539231,0.26106,0.026295,
1486,Turkey,TUR,1990,2.791844,1.29323,1.106686,0.140769,0.192263,0.004054,0.054842
1487,Turkey,TUR,1991,2.858593,1.355797,1.06268,0.165298,0.217291,0.004761,0.052766
1488,Turkey,TUR,1992,2.913952,1.333465,1.12333,0.176301,0.235612,0.004503,0.040741
1489,Turkey,TUR,1993,2.986835,1.231518,1.276457,0.193513,0.227741,0.00403,0.053576
1490,Turkey,TUR,1994,2.87361,1.176129,1.211279,0.194616,0.231403,0.003754,0.056428
1491,Turkey,TUR,1995,3.060118,1.200993,1.316176,0.243505,0.238303,0.003526,0.057615
1492,Turkey,TUR,1996,3.310171,1.370459,1.361998,0.278971,0.243172,0.003457,0.052114
1493,Turkey,TUR,1997,3.460286,1.476541,1.336528,0.339247,0.246495,0.00337,0.058105
1494,Turkey,TUR,1998,3.407173,1.510093,1.244668,0.347961,0.24569,0.003119,0.055642
1495,Turkey,TUR,1999,3.289638,1.33315,1.248325,0.422845,0.230903,0.002822,0.051593
1496,Turkey,TUR,2000,3.585174,1.536964,1.288561,0.469764,0.236826,0.002618,0.050441
1497,Turkmenistan,TKM,1990,8.415618,0.380687,3.29838,4.502464,0.163403,0.070685,
1498,Turkmenistan,TKM,1991,8.540125,0.315726,3.716211,4.294548,0.149629,0.06401,
1499,Turkmenistan,TKM,1992,8.148542,0.405045,4.416302,3.213299,0.113895,0,
1500,Turkmenistan,TKM,1993,6.825014,0.08905,2.179917,4.445249,0.110797,0,
1501,Turkmenistan,TKM,1994,8.091657,0,2.132302,5.890652,0.068703,0,
1502,Turkmenistan,TKM,1995,8.028519,0,1.919078,6.067547,0.041894,0,
1503,Turkmenistan,TKM,1996,7.115571,0.061335,2.190174,4.821621,0.042441,0,
1504,Turkmenistan,TKM,1997,7.002468,0,2.110318,4.850457,0.041693,0,
1505,Turkmenistan,TKM,1998,7.226771,0,2.664792,4.520969,0.041009,0,
1506,Turkmenistan,TKM,1999,8.354799,0,2.867283,5.447186,0.040331,0,
1507,Turkmenistan,TKM,2000,8.199849,0,2.700007,5.460157,0.039686,0,
1508,Tuvalu,TUV,1990,1.197125,0,1.197125,0,0,0,
1509,Tuvalu,TUV,1991,0.783408,0,0.783408,0,0,0,
1510,Tuvalu,TUV,1992,0.774139,0,0.774139,0,0,0,
1511,Tuvalu,TUV,1993,0.769991,0,0.769991,0,0,0,
1512,Tuvalu,TUV,1994,0.766607,0,0.766607,0,0,0,
1513,Tuvalu,TUV,1995,1.146792,0,1.146792,0,0,0,
1514,Tuvalu,TUV,1996,0.76246,0,0.76246,0,0,0,
1515,Tuvalu,TUV,1997,0.760955,0,0.760955,0,0,0,
1516,Tuvalu,TUV,1998,1.140959,0,1.140959,0,0,0,
1517,Tuvalu,TUV,1999,0.380083,0,0.380083,0,0,0,
